Timestamp,Callsign,BaseCallsign,GridSquare,Frequency,Mode,Baud,Power,Height,Gain,Direction,OperatingHours,ServiceCode
/Date(1623444180000-0000)/,LA2U,LA2U,JP43UR,7045000,41,600,100,25,0,0,00-23,PUBLIC
/Date(1623444180000-0000)/,LA2U,LA2U,JP43UR,7045000,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623444180000-0000)/,LA2U,LA2U,JP43UR,10145400,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623444180000-0000)/,LA2U,LA2U,JP43UR,10145400,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623444180000-0000)/,LA2U,LA2U,JP43UR,10147000,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623444180000-0000)/,LA2U,LA2U,JP43UR,10147000,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623442680000-0000)/,LA3F,LA3F,JO59JS,3598000,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623442680000-0000)/,LA3F,LA3F,JO59JS,3598000,41,600,100,25,0,0,00-23,PUBLIC
/Date(1623442680000-0000)/,LA3F,LA3F,JO59JS,3598000,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623442200000-0000)/,LA3F,LA3F,JO59JS,5284500,13,600,100,25,0,0,00-23,PUBLIC
/Date(1623442200000-0000)/,LA3F,LA3F,JO59JS,5284500,43,600,100,25,0,0,00-23,PUBLIC
/Date(1623442200000-0000)/,LA3F,LA3F,JO59JS,5284500,50,600,100,25,0,0,00-23,PUBLIC
/Date(1623442200000-0000)/,LA3F,LA3F,JO59JS,5323500,13,600,100,25,0,0,00-23,PUBLIC
/Date(1623442200000-0000)/,LA3F,LA3F,JO59JS,5323500,43,600,100,25,0,0,00-23,PUBLIC
/Date(1623442200000-0000)/,LA3F,LA3F,JO59JS,5323500,50,600,100,25,0,0,00-23,PUBLIC
/Date(1623442200000-0000)/,LA3F,LA3F,JO59JS,5351500,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623442200000-0000)/,LA3F,LA3F,JO59JS,5351500,41,600,100,25,0,0,00-23,PUBLIC
/Date(1623442200000-0000)/,LA3F,LA3F,JO59JS,5351500,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623442200000-0000)/,LA3F,LA3F,JO59JS,5360500,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623442200000-0000)/,LA3F,LA3F,JO59JS,5360500,41,600,100,25,0,0,00-23,PUBLIC
/Date(1623442200000-0000)/,LA3F,LA3F,JO59JS,5360500,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623442680000-0000)/,LA3F,LA3F,JO59JS,7049500,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623442680000-0000)/,LA3F,LA3F,JO59JS,7049500,41,600,100,25,0,0,00-23,PUBLIC
/Date(1623442680000-0000)/,LA3F,LA3F,JO59JS,7049500,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623442680000-0000)/,LA3F,LA3F,JO59JS,7052000,13,600,100,25,0,0,00-23,PUBLIC
/Date(1623442680000-0000)/,LA3F,LA3F,JO59JS,7052000,50,600,100,25,0,0,00-23,PUBLIC
/Date(1623442200000-0000)/,LA3F,LA3F,JO59JS,10145400,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623442200000-0000)/,LA3F,LA3F,JO59JS,10145400,41,600,100,25,0,0,00-23,PUBLIC
/Date(1623442200000-0000)/,LA3F,LA3F,JO59JS,10145400,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623442200000-0000)/,LA3F,LA3F,JO59JS,10147000,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623442200000-0000)/,LA3F,LA3F,JO59JS,10147000,41,600,100,25,0,0,00-23,PUBLIC
/Date(1623442200000-0000)/,LA3F,LA3F,JO59JS,10147000,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623446640000-0000)/,LA3F-10,LA3F,JO59JS,50700000,0,1200,25,25,0,0,00-23,PUBLIC
/Date(1623446640000-0000)/,LA3F-10,LA3F,JO59JS,144925000,0,1200,25,25,0,0,00-23,PUBLIC
/Date(1623446640000-0000)/,LA3F-10,LA3F,JO59JS,433725000,0,1200,25,25,0,0,00-23,PUBLIC
/Date(1623446100000-0000)/,LA4A-10,LA4A,JO48JK,144925000,0,1200,25,25,0,0,00-23,PUBLIC
/Date(1623446220000-0000)/,LA4A-10,LA4A,JO48JK,433725000,0,1200,25,25,0,0,00-23,PUBLIC
/Date(1623441540000-0000)/,LA5A,LA5A,KP19QX,3596500,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623441540000-0000)/,LA5A,LA5A,KP19QX,3596500,41,600,100,25,0,0,00-23,PUBLIC
/Date(1623441540000-0000)/,LA5A,LA5A,KP19QX,3596500,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623441540000-0000)/,LA5A,LA5A,KP19QX,5271500,13,600,100,25,0,0,00-23,PUBLIC
/Date(1623441540000-0000)/,LA5A,LA5A,KP19QX,5271500,43,600,100,25,0,0,00-23,PUBLIC
/Date(1623441540000-0000)/,LA5A,LA5A,KP19QX,5271500,50,600,100,25,0,0,00-23,PUBLIC
/Date(1623441540000-0000)/,LA5A,LA5A,KP19QX,7045000,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623441540000-0000)/,LA5A,LA5A,KP19QX,7045000,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623441540000-0000)/,LA5A,LA5A,KP19QX,10145400,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623441540000-0000)/,LA5A,LA5A,KP19QX,10145400,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623446220000-0000)/,LA5A-10,LA5A,KP19QX,144925000,0,1200,25,25,0,0,00-23,PUBLIC
/Date(1623443220000-0000)/,LA5G,LA5G,JP50IS,3595500,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623443220000-0000)/,LA5G,LA5G,JP50IS,3595500,41,600,100,25,0,0,00-23,PUBLIC
/Date(1623443220000-0000)/,LA5G,LA5G,JP50IS,3595500,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623443040000-0000)/,LA5G,LA5G,JP50IS,5330000,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623443040000-0000)/,LA5G,LA5G,JP50IS,5330000,41,600,100,25,0,0,00-23,PUBLIC
/Date(1623443040000-0000)/,LA5G,LA5G,JP50IS,5330000,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623443040000-0000)/,LA5G,LA5G,JP50IS,5356500,13,600,100,25,0,0,00-23,PUBLIC
/Date(1623443040000-0000)/,LA5G,LA5G,JP50IS,5356500,43,600,100,25,0,0,00-23,PUBLIC
/Date(1623443040000-0000)/,LA5G,LA5G,JP50IS,5356500,50,600,100,25,0,0,00-23,PUBLIC
/Date(1623443040000-0000)/,LA5G,LA5G,JP50IS,10146000,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623443040000-0000)/,LA5G,LA5G,JP50IS,10146000,41,600,100,25,0,0,00-23,PUBLIC
/Date(1623443040000-0000)/,LA5G,LA5G,JP50IS,10146000,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623447180000-0000)/,LA5G-10,LA5G,JP50IS,144925000,0,1200,25,25,0,0,00-23,PUBLIC
/Date(1623447180000-0000)/,LA5G-10,LA5G,JP50IS,433725000,0,1200,25,25,0,0,00-23,PUBLIC
/Date(1623444540000-0000)/,LA6M,LA6M,JP99GA,3595000,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623444540000-0000)/,LA6M,LA6M,JP99GA,3595000,41,600,100,25,0,0,00-23,PUBLIC
/Date(1623444540000-0000)/,LA6M,LA6M,JP99GA,3595000,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623444540000-0000)/,LA6M,LA6M,JP99GA,7050500,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623444540000-0000)/,LA6M,LA6M,JP99GA,7050500,41,600,100,25,0,0,00-23,PUBLIC
/Date(1623444540000-0000)/,LA6M,LA6M,JP99GA,7050500,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623444540000-0000)/,LA6M,LA6M,JP99GA,10147000,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623444540000-0000)/,LA6M,LA6M,JP99GA,10147000,41,600,100,25,0,0,00-23,PUBLIC
/Date(1623444540000-0000)/,LA6M,LA6M,JP99GA,10147000,53,600,100,25,0,0,00-23,PUBLIC
