Date,Open,High,Low,Close,Adj Close,Volume
2020-12-23,30.770000,31.740000,30.690001,31.610001,31.325531,2889300
2020-12-24,31.600000,31.900000,31.559999,31.879999,31.593098,1668800
2020-12-28,32.000000,32.139999,31.660000,31.990000,31.702110,2310300
2020-12-29,32.099998,32.240002,31.860001,32.000000,31.712019,3084300
2020-12-30,32.040001,32.220001,31.790001,31.820000,31.533638,2320200
2020-12-31,31.900000,32.099998,31.660000,32.000000,31.712019,2692100
2021-01-04,32.070000,32.160000,31.040001,31.590000,31.305710,4293700
2021-01-05,31.610001,31.709999,31.250000,31.639999,31.355259,2999900
2021-01-06,30.830000,32.060001,30.809999,31.760000,31.474180,4706700
2021-01-07,31.330000,31.820000,31.299999,31.799999,31.663363,8330400
2021-01-08,31.620001,32.020000,31.510000,32.000000,31.862503,4995100
2021-01-11,32.090000,32.099998,31.280001,31.360001,31.225254,4322400
2021-01-12,31.690001,31.709999,31.139999,31.360001,31.225254,3363900
2021-01-13,31.280001,31.700001,31.200001,31.660000,31.523964,3429000
2021-01-14,31.559999,31.740000,31.299999,31.540001,31.404480,4282200
2021-01-15,31.480000,32.080002,31.340000,31.860001,31.723104,8525400
2021-01-19,31.860001,32.099998,31.610001,31.820000,31.683275,4542800
2021-01-20,31.840000,32.040001,31.370001,31.950001,31.812719,3344100
2021-01-21,31.969999,31.969999,31.500000,31.540001,31.404480,2972700
2021-01-22,31.520000,31.709999,31.280001,31.469999,31.334780,2368500
2021-01-25,31.469999,32.220001,31.450001,32.029999,31.892372,4544100
2021-01-26,32.029999,32.730000,31.959999,32.630001,32.489796,7078400
2021-01-27,32.570000,33.490002,32.450001,33.200001,33.057346,10163700
2021-01-28,33.150002,33.689999,32.389999,32.419998,32.280697,5299600
2021-01-29,31.850000,32.580002,31.760000,31.799999,31.663363,4472700
2021-02-01,32.000000,32.160000,31.750000,31.920000,31.782846,2986500
2021-02-02,31.950001,32.419998,31.700001,31.990000,31.852547,4158700
2021-02-03,31.860001,32.209999,31.360001,31.920000,31.782846,3796700
2021-02-04,31.860001,32.320000,31.620001,32.299999,32.161213,4090800
2021-02-05,32.439999,32.830002,32.209999,32.529999,32.390224,3576000
